Case Num,Year,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make
38219,2015,2 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,South,Not Entered,2004,NJ,1,4,ACURA
38220,2015,2 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,2001,PA,2,4,ACURA
38221,2015,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,East,Not Entered,2005,FL,2,4,ACURA
38222,2015,4 DOOR SEDAN,Not Entered,Slowing or Stopping,Not Entered,West,Not Entered,2008,NJ,1,4,ACURA
38223,2014,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2003,NY,1,6,ACURA
38224,2014,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2003,NY,1,6,ACURA
38225,2014,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2006,NY,1,4,ACURA
38226,2014,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,North,Gas,2000,NY,2,4,ACURA
38227,2015,SUBURBAN,PASSENGER OR SUBURBAN,Making Right Turn,Not Entered,Northwest,Gas,2005,NY,1,6,ACURA
38228,2015,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2012,NY,3,6,ACURA
38229,2015,SUBURBAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,East,Gas,2006,NY,1,6,ACURA
38230,2015,SUBURBAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,West,Gas,2014,NY,1,6,ACURA
38231,2015,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,Southeast,Gas,2008,NY,1,6,ACURA
38232,2015,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,Northwest,Gas,1998,NY,2,4,ACURA
38233,2015,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2003,NY,2,6,ACURA
38234,2015,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Starting in Traffic,Not Entered,East,Gas,2005,NY,1,6,ACURA
38235,2015,SUBURBAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,Northeast,Gas,2015,NY,1,6,ACURA
38236,2015,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,Northeast,Gas,2010,NY,1,4,ACURA
38237,2015,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,Southwest,Gas,2010,NY,1,6,ACURA
38238,2015,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2000,NY,2,6,ACURA
38239,2015,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,1999,NY,1,6,ACURA
38240,2015,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,1998,NY,1,4,ACURA
